,Sector,intersection,health,climate
0,Aerospace & Defense,0.0,24.0,1.0
1,Alternative Energy,6.0,66.5,38.5
2,Automobiles & Parts,0.33,9.0,0.33
3,Banks,0.5,91.0,35.25
4,Beverages,0.0,6.0,8.0
5,Chemicals,0.5,17.0,6.0
6,Construction & Materials,0.73,37.0,16.6
7,Diversified,1.29,30.24,13.57
8,Electricity,0.0,15.0,33.0
9,Electronic & Electrical Equ...,0.6,24.0,6.2
10,Equity Investment Instruments,0.0,12.0,0.0
11,Financial Services,3.0,82.25,47.5
12,Fixed Line Telecommunications,4.0,225.0,87.0
13,Food Producers,2.0,40.0,12.56
14,Forestry & Paper,2.67,68.0,54.67
15,"Gas, Water & Multiutilities",3.71,70.86,59.14
16,General Industrials,0.7,27.9,12.9
17,General Retailers,1.5,70.5,40.0
18,Health Care Equipment & Ser...,0.0,25.0,1.0
19,Household Goods & Home Cons...,1.67,66.67,25.33
20,Industrial Engineering,1.5,29.5,4.75
21,Industrial Metals & Mining,4.0,74.0,112.0
22,Industrial Transportation,2.8,31.8,15.4
23,Leisure Goods,0.0,15.0,3.5
24,Media,0.0,2.0,1.0
25,Mobile Telecommunications,5.5,71.0,57.0
26,Personal Goods,2.67,67.33,25.33
27,Pharmaceuticals & Biotechno...,4.67,130.0,12.33
28,Real Estate Investment & Se...,0.0,25.0,3.0
29,Software & Computer Services,0.33,6.11,1.33
30,Support Services,0.59,13.53,7.0
31,Technology Hardware & Equip...,0.2,24.2,6.8
32,Travel & Leisure,2.0,133.0,60.0
